"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"32","11:13","4:40:39","1.00","11:13","10:23","137","143","28","0","184","2.09","314","3.57","112","315","--","0.75","6.7","9.2","80","30.0","5:32","163","10:08","10:08","--","--"
"33","8:30.0","4:49:09","1.00","8:30","8:51","140","145","1","26","236","2.68","263","2.99","157","308","--","0.75","7.8","10.5","67","29.0","7:50","163","8:30","8:30","--","--"
"34","8:28.2","4:57:37","1.00","8:28","8:37","144","148","0","12","247","2.81","268","3.05","158","304","--","0.75","7.8","10.4","73","29.0","7:50","165","8:28","8:28","--","--"
"35","8:45.5","5:06:22","1.00","8:45","8:54","144","159","0","9","237","2.69","383","4.35","143","308","--","0.79","7.7","9.9","76","29.0","5:44","169","8:13","8:13","--","--"
"36","10:06","5:16:28","1.00","10:06","10:08","139","150","0","8","191","2.17","296","3.36","127","310","--","0.76","7.1","9.4","74","30.0","7:48","163","9:40","9:40","--","--"
"37","9:46.5","5:26:15","1.00","9:47","9:54","133","140","0","5","213","2.42","298","3.39","137","322","--","0.72","7.4","10.3","72","29.0","7:23","167","9:12","9:12","--","--"
"38","7:56.9","5:34:12","1.00","7:57","8:07","143","148","0","20","270","3.07","303","3.44","160","298","--","0.81","7.9","10.0","74","29.0","7:00","167","7:56.9","7:57","--","--"
"39","9:02.3","5:43:14","1.00","9:02","9:29","135","141","2","19","224","2.55","386","4.39","147","328","--","0.73","7.3","10.1","68","30.0","6:13","167","9:02","9:02","--","--"
"40","8:58.6","5:52:13","1.00","8:59","9:03","136","139","4","11","242","2.75","296","3.36","152","312","--","0.73","7.6","10.4","71","28.0","8:09","161","8:58.6","8:59","--","--"
"41","9:57.5","6:02:10","1.00","9:57","10:17","131","137","0","19","212","2.41","251","2.85","138","317","--","0.70","7.6","10.8","68","28.0","7:42","159","9:18","9:18","--","--"
"42","9:00.5","6:11:11","1.00","9:01","9:15","136","141","0","14","240","2.73","267","3.03","155","316","--","0.72","7.7","10.7","70","28.0","8:19","159","9:00.5","9:01","--","--"
"43","8:47.3","6:19:58","1.00","8:47","9:14","139","143","1","23","242","2.75","274","3.11","155","315","--","0.73","7.8","10.7","67","28.0","8:01","159","8:47","8:47","--","--"
"44","7:14.1","6:27:12","0.42","17:13","17:05","135","155","5","2","108","1.23","326","3.70","66","318","--","0.77","7.2","10.2","47","28.0","7:19","163","4:23","10:26","--","--"
"Übersicht","6:27:12","6:27:12","42.85","9:02","8:59","143","172","334","283","240","2.73","387","4.40","145","309","--","0.75","7.6","10.2","3,342","29.3","5:32","172","6:15:36","8:46","--","--"
